Entry	Entry Name	Gene Names	Gene Names (ordered locus)	Protein names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
Q9HVW0	KDSD_PSEAE	kdsD PA4457	PA4457	Arabinose 5-phosphate isomerase KdsD (API) (EC 5.3.1.13) (Pa-KdsD)	GO:0009103; GO:0019146; GO:0046872; GO:0097367	lipopolysaccharide biosynthetic process [GO:0009103]	arabinose-5-phosphate isomerase activity [GO:0019146]; carbohydrate derivative binding [GO:0097367]; metal ion binding [GO:0046872]	
Q9HW91	PCTB_PSEAE	pctB PA4310	PA4310	Methyl-accepting chemotaxis protein PctB	GO:0005886; GO:0006935; GO:0007165; GO:0016597; GO:0043200	chemotaxis [GO:0006935]; response to amino acid [GO:0043200]; signal transduction [GO:0007165]	amino acid binding [GO:0016597]	plasma membrane [GO:0005886]
Q9HWC1	COAX_PSEAE	coaX coaA PA4279	PA4279	Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase)	GO:0004594; GO:0005524; GO:0005737; GO:0015937; GO:0046677; GO:0046872	coenzyme A biosynthetic process [GO:0015937]; response to antibiotic [GO:0046677]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; pantothenate kinase activity [GO:0004594]	cytoplasm [GO:0005737]
Q9HWK6	LYSC_PSEAE	prpL PA4175	PA4175	Lysyl endopeptidase (EC 3.4.21.50) (Protease IV) (PvdS-regulated endoprotease)	GO:0005615; GO:0006508; GO:0006554; GO:0008236; GO:0015628; GO:0043952; GO:0141174	lysine catabolic process [GO:0006554]; protein secretion by the type II secretion system [GO:0015628]; protein transport by the Sec complex [GO:0043952]; proteolysis [GO:0006508]; symbiont-mediated suppression of host anti-inflammatory cytokine signaling [GO:0141174]	serine-type peptidase activity [GO:0008236]	extracellular space [GO:0005615]
Q9HXM1	HDAH_PSEAE	PA3774	PA3774	Histone deacetylase-like amidohydrolase (HDAH) (EC 3.5.1.-) (Acetylated lysine deacetylase) (Histone deacetylase homolog PA3774)	GO:0004407; GO:0016787; GO:0040029; GO:0046872	epigenetic regulation of gene expression [GO:0040029]	histone deacetylase activity [GO:0004407]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	
Q9I1H3	AMBE_PSEAE	ambE PA2302	PA2302	AMB antimetabolite synthetase AmbE (EC 6.2.1.68) (L-glutamate--[L-glutamyl-carrier protein] ligase) (Nonribosomal peptide synthetase AmbE)	GO:0006631; GO:0016405; GO:0031177; GO:0044550	fatty acid metabolic process [GO:0006631]; secondary metabolite biosynthetic process [GO:0044550]	CoA-ligase activity [GO:0016405]; phosphopantetheine binding [GO:0031177]	
Q9I2N0	FAN1_PSEAE	fan1 PA1865	PA1865	Fanconi-associated nuclease 1 homolog (PaFAN1) (pFAN1) (EC 3.1.4.1)	GO:0000287; GO:0004528; GO:0008409; GO:0017108; GO:0030145; GO:0036297; GO:0070336	interstrand cross-link repair [GO:0036297]	5'-3' exonuclease activity [GO:0008409]; 5'-flap endonuclease activity [GO:0017108]; flap-structured DNA binding [GO:0070336]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; phosphodiesterase I activity [GO:0004528]	
Q9I4E3	DDAH_PSEAE	PA1195	PA1195	N(G),N(G)-dimethylarginine dimethylaminohydrolase (DDAH) (Dimethylarginine dimethylaminohydrolase) (EC 3.5.3.18) (Dimethylargininase)	GO:0000052; GO:0006525; GO:0016403; GO:0016597; GO:0045429; GO:0046872	arginine metabolic process [GO:0006525]; citrulline metabolic process [GO:0000052]; positive regulation of nitric oxide biosynthetic process [GO:0045429]	amino acid binding [GO:0016597]; dimethylargininase activity [GO:0016403]; metal ion binding [GO:0046872]	
Q9I4K0	HCHA_PSEAE	hchA PA1135	PA1135	Protein/nucleic acid deglycase HchA (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Maillard deglycase)	GO:0005737; GO:0006281; GO:0016790; GO:0019172; GO:0019243; GO:0030091; GO:0036524	DNA repair [GO:0006281]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]; protein repair [GO:0030091]	glyoxalase III activity [GO:0019172]; protein deglycase activity [GO:0036524]; thiolester hydrolase activity [GO:0016790]	cytoplasm [GO:0005737]
Q9I4L6	YFIB_PSEAE	yfiB PA1119	PA1119	Outer-membrane lipoprotein YfiB (Outer-membrane bound Pal-like protein)	GO:0009279; GO:0071973; GO:0120101	bacterial-type flagellum-dependent cell motility [GO:0071973]		bacterial-type flagellum stator complex [GO:0120101]; cell outer membrane [GO:0009279]
Q9I4V0	NQRED_PSEAE	PA1024	PA1024	NADH:quinone reductase (EC 1.6.5.9)	GO:0000166; GO:0016491; GO:0018580; GO:0050136		NADH dehydrogenase (quinone) (non-electrogenic) activity [GO:0050136]; nitronate monooxygenase activity [GO:0018580]; nucleotide binding [GO:0000166]; oxidoreductase activity [GO:0016491]	
Q9I5F3	AZOR1_PSEAE	azoR1 PA0785	PA0785	FMN-dependent NAD(P)H:quinone oxidoreductase 1 (EC 1.6.5.-) (Azo-dye reductase 1) (FMN-dependent NADH-azo compound oxidoreductase 1) (FMN-dependent NADH-azoreductase 1) (EC 1.7.1.17)	GO:0003960; GO:0006979; GO:0009055; GO:0010181; GO:0016652; GO:0016655	response to oxidative stress [GO:0006979]	electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; oxidoreductase activity, acting on NAD(P)H as acceptor [GO:0016652]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; quinone reductase (NADPH) activity [GO:0003960]	
Q9I5I9	LPAKS_PSEAE	sdsA1 PA0740	PA0740	Linear primary-alkylsulfatase (EC 3.1.6.21) (Sodium dodecyl sulfate hydrolase) (SDS hydrolase) (Type III linear primary-alkylsulfatase)	GO:0018741; GO:0018909; GO:0030288; GO:0042802; GO:0046872; GO:0046983	dodecyl sulfate metabolic process [GO:0018909]	identical protein binding [GO:0042802]; linear primary-alkylsulfatase activity [GO:0018741]; metal ion binding [GO:0046872]; protein dimerization activity [GO:0046983]	outer membrane-bounded periplasmic space [GO:0030288]
Q9I6V9	CHEB2_PSEAE	cheB2 PA0173	PA0173	Protein-glutamate methylesterase/protein-glutamine glutaminase 2 (EC 3.1.1.61) (EC 3.5.1.44)	GO:0000156; GO:0005737; GO:0006935; GO:0007165; GO:0008984; GO:0050568	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	phosphorelay response regulator activity [GO:0000156]; protein-glutamate methylesterase activity [GO:0008984]; protein-glutamine glutaminase activity [GO:0050568]	cytoplasm [GO:0005737]
Q9Z4J7	QEDH_PSEAE	exaA PA1982	PA1982	Quinoprotein ethanol dehydrogenase (QEDH) (EC 1.1.2.8) (Quinoprotein alcohol dehydrogenase (cytochrome c)) (Quinoprotein alcohol dehydrogenase (cytochrome c550))	GO:0005509; GO:0006068; GO:0016020; GO:0020037; GO:0030288; GO:0052934; GO:0070968	ethanol catabolic process [GO:0006068]	alcohol dehydrogenase (cytochrome c) activity [GO:0052934]; calcium ion binding [GO:0005509]; heme binding [GO:0020037]; pyrroloquinoline quinone binding [GO:0070968]	membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]
O86062	NUDC_PSEAE	nudC PA1823	PA1823	NAD-capped RNA hydrolase NudC (DeNADding enzyme NudC) (EC 3.6.1.-) (NADH pyrophosphatase) (EC 3.6.1.22)	GO:0000210; GO:0000287; GO:0006742; GO:0008270; GO:0016787; GO:0019677; GO:0030145; GO:0035529; GO:0110153	NAD+ catabolic process [GO:0019677]; NADP+ catabolic process [GO:0006742]	hydrolase activity [GO:0016787]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; NAD+ diphosphatase activity [GO:0000210]; NADH pyrophosphatase activity [GO:0035529]; RNA NAD-cap (NMN-forming) hydrolase activity [GO:0110153]; zinc ion binding [GO:0008270]	
P00099	CY551_PSEAE	nirM PA0518	PA0518	Cytochrome c-551 (Cytochrome C8) (Cytochrome c551)	GO:0005506; GO:0009055; GO:0020037; GO:0042597		electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]	periplasmic space [GO:0042597]
P0DPB9	PHZD1_PSEAE	phzD1 phzD PA4213	PA4213	Phenazine biosynthesis protein PhzD1 (2-amino-4-deoxychorismate hydrolase) (EC 3.3.2.15) (Isochorismatase) (Trans-2,3-dihydro-3-hydroxyanthranilic acid synthase)	GO:0002047; GO:0005829; GO:0008908	phenazine biosynthetic process [GO:0002047]	isochorismatase activity [GO:0008908]	cytosol [GO:0005829]
P13794	PORF_PSEAE	oprF PA1777	PA1777	Outer membrane porin F	GO:0001851; GO:0005509; GO:0006811; GO:0008360; GO:0009279; GO:0015288; GO:0019867; GO:0044406; GO:0046930	adhesion of symbiont to host [GO:0044406]; monoatomic ion transport [GO:0006811]; regulation of cell shape [GO:0008360]	calcium ion binding [GO:0005509]; complement component C3b binding [GO:0001851]; porin activity [GO:0015288]	cell outer membrane [GO:0009279]; outer membrane [GO:0019867]; pore complex [GO:0046930]
P13981	ARCA_PSEAE	arcA PA5171	PA5171	Arginine deiminase (ADI) (EC 3.5.3.6) (Arginine dihydrolase) (AD)	GO:0005737; GO:0016990; GO:0019546	L-arginine deiminase pathway [GO:0019546]	arginine deiminase activity [GO:0016990]	cytoplasm [GO:0005737]
P20576	TRPG_PSEAE	trpG PA0649	PA0649	Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, GATase component) (Anthranilate synthase, glutamine amidotransferase component)	GO:0000162; GO:0004049; GO:0046654; GO:0046820	L-tryptophan biosynthetic process [GO:0000162]; tetrahydrofolate biosynthetic process [GO:0046654]	4-amino-4-deoxychorismate synthase activity [GO:0046820]; anthranilate synthase activity [GO:0004049]	
P23620	PHOB_PSEAE	phoB PA5360	PA5360	Phosphate regulon transcriptional regulatory protein PhoB	GO:0000156; GO:0000976; GO:0005829; GO:0006351; GO:0006355; GO:0006817; GO:0032993; GO:0045893; GO:0071978; GO:0080040	bacterial-type flagellum-dependent swarming motility [GO:0071978]; DNA-templated transcription [GO:0006351]; phosphate ion transport [GO:0006817]; positive regulation of cellular response to phosphate starvation [GO:0080040]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA-templated transcription [GO:0006355]	phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]
P57112	STHA_PSEAE	sthA sth PA2991	PA2991	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	GO:0003957; GO:0004148; GO:0005829; GO:0006103; GO:0006739; GO:0050660	2-oxoglutarate metabolic process [GO:0006103]; NADP+ metabolic process [GO:0006739]	dihydrolipoyl dehydrogenase (NADH) activity [GO:0004148]; flavin adenine dinucleotide binding [GO:0050660]; NAD(P)+ transhydrogenase (Si-specific) activity [GO:0003957]	cytosol [GO:0005829]
P57714	METXS_PSEAE	metXS PA0390	PA0390	Homoserine O-succinyltransferase (HST) (EC 2.3.1.46) (Homoserine transsuccinylase) (HTS)	GO:0004414; GO:0005737; GO:0008899; GO:0009086	methionine biosynthetic process [GO:0009086]	homoserine O-acetyltransferase activity [GO:0004414]; homoserine O-succinyltransferase activity [GO:0008899]	cytoplasm [GO:0005737]
P95435	PSCG_PSEAE	pscG PA1720	PA1720	Type 3 secretion system chaperone PscG (Pseudomonas secretion protein G) (Type III export protein PscG)	GO:0005737; GO:0030254	protein secretion by the type III secretion system [GO:0030254]		cytoplasm [GO:0005737]
Q01269	PHEC_PSEAE	pheC PA3475	PA3475	Cyclohexadienyl dehydratase [Includes: Prephenate dehydratase (EC 4.2.1.51); Arogenate dehydratase (EC 4.2.1.91)]	GO:0004664; GO:0009094; GO:0042597; GO:0047769	L-phenylalanine biosynthetic process [GO:0009094]	arogenate dehydratase activity [GO:0047769]; prephenate dehydratase activity [GO:0004664]	periplasmic space [GO:0042597]
Q51566	XERC_PSEAE	xerC sss PA5280	PA5280	Tyrosine recombinase XerC	GO:0003677; GO:0005737; GO:0006310; GO:0006313; GO:0007059; GO:0009037; GO:0048476; GO:0051301; GO:0071139; GO:0071294	cell division [GO:0051301]; cellular response to zinc ion [GO:0071294]; chromosome segregation [GO:0007059]; DNA recombination [GO:0006310]; DNA transposition [GO:0006313]; resolution of DNA recombination intermediates [GO:0071139]	DNA binding [GO:0003677]; tyrosine-based site-specific recombinase activity [GO:0009037]	cytoplasm [GO:0005737]; Holliday junction resolvase complex [GO:0048476]
Q59638	ODP2_PSEAE	aceF aceB PA5016	PA5016	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2)	GO:0004742; GO:0006086; GO:0045254	pyruvate decarboxylation to acetyl-CoA [GO:0006086]	dihydrolipoyllysine-residue acetyltransferase activity [GO:0004742]	pyruvate dehydrogenase complex [GO:0045254]
Q59647	NORB_PSEAE	norB PA0524	PA0524	Nitric oxide reductase subunit B (EC 1.7.2.5) (NOR large subunit) (Nitric oxide reductase cytochrome b subunit)	GO:0004129; GO:0005886; GO:0009060; GO:0016966; GO:0019333; GO:0020037; GO:0022904; GO:0046872	aerobic respiration [GO:0009060]; denitrification pathway [GO:0019333]; respiratory electron transport chain [GO:0022904]	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; nitric oxide reductase activity [GO:0016966]	plasma membrane [GO:0005886]
Q9HT22	GLMU_PSEAE	glmU PA5552	PA5552	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	GO:0000287; GO:0000902; GO:0003977; GO:0005829; GO:0006048; GO:0008360; GO:0009245; GO:0009252; GO:0016020; GO:0019134; GO:0071555	cell morphogenesis [GO:0000902]; cell wall organization [GO:0071555]; lipid A biosynthetic process [GO:0009245]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	glucosamine-1-phosphate N-acetyltransferase activity [GO:0019134]; magnesium ion binding [GO:0000287]; UDP-N-acetylglucosamine diphosphorylase activity [GO:0003977]	cytosol [GO:0005829]; membrane [GO:0016020]
Q9HUG8	MSBA_PSEAE	msbA PA4997	PA4997	ATP-dependent lipid A-core flippase (EC 7.5.2.6) (Lipid A export ATP-binding/permease protein MsbA)	GO:0005347; GO:0005524; GO:0005886; GO:0009245; GO:0015920; GO:0016887; GO:0034040; GO:0042626; GO:0055085; GO:0140359	lipid A biosynthetic process [GO:0009245]; lipopolysaccharide transport [GO:0015920]; transmembrane transport [GO:0055085]	ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP transmembrane transporter activity [GO:0005347]; ATPase-coupled lipid transmembrane transporter activity [GO:0034040]; ATPase-coupled transmembrane transporter activity [GO:0042626]	plasma membrane [GO:0005886]
Q9HUK7	FIMW_PSEAE	fimW PA4958	PA4958	Cyclic-di-GMP receptor FimW	GO:0000166; GO:0005737		nucleotide binding [GO:0000166]	cytoplasm [GO:0005737]
Q9HVC5	KPRS_PSEAE	prs PA4670	PA4670	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate synthase) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	GO:0000287; GO:0002189; GO:0004749; GO:0005524; GO:0005737; GO:0006015; GO:0006164; GO:0009156; GO:0016301	5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; purine nucleotide biosynthetic process [GO:0006164]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]	cytoplasm [GO:0005737]; ribose phosphate diphosphokinase complex [GO:0002189]
Q9HVM8	PILY1_PSEAE	pilY1 PA4554	PA4554	Type IV pilus biogenesis factor PilY1 (Pilus-associated adhesin PilY1)	GO:0005509; GO:0005829; GO:0009289; GO:0016020; GO:0043107	type IV pilus-dependent motility [GO:0043107]	calcium ion binding [GO:0005509]	cytosol [GO:0005829]; membrane [GO:0016020]; pilus [GO:0009289]
Q9HW93	PCTC_PSEAE	pctC PA4307	PA4307	Methyl-accepting chemotaxis protein PctC	GO:0005886; GO:0006935; GO:0007165; GO:0016597; GO:0043200	chemotaxis [GO:0006935]; response to amino acid [GO:0043200]; signal transduction [GO:0007165]	amino acid binding [GO:0016597]	plasma membrane [GO:0005886]
Q9HXZ4	PYRG_PSEAE	pyrG PA3637	PA3637	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	GO:0003883; GO:0004359; GO:0005524; GO:0005829; GO:0006241; GO:0019856; GO:0042802; GO:0044210; GO:0046872; GO:0097268	'de novo' CTP biosynthetic process [GO:0044210]; CTP biosynthetic process [GO:0006241]; pyrimidine nucleobase biosynthetic process [GO:0019856]	ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; glutaminase activity [GO:0004359]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	cytoophidium [GO:0097268]; cytosol [GO:0005829]
Q9HY82	RNT_PSEAE	rnt PA3528	PA3528	Ribonuclease T (EC 3.1.13.-) (Exoribonuclease T) (RNase T)	GO:0000287; GO:0003676; GO:0005829; GO:0008033; GO:0008408; GO:0016896; GO:0045004	DNA replication proofreading [GO:0045004]; tRNA processing [GO:0008033]	3'-5' exonuclease activity [GO:0008408]; magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676]; RNA exonuclease activity, producing 5'-phosphomonoesters [GO:0016896]	cytosol [GO:0005829]
Q9HY92	FLCC_PSEAE	flcC PA3517	PA3517	S-[(2R)-succino]-(hydroxyimino)methanethiol lyase (EC 4.4.1.-)	GO:0004018; GO:0005829; GO:0006189; GO:0044208; GO:0047472; GO:0070626	'de novo' AMP biosynthetic process [GO:0044208]; 'de novo' IMP biosynthetic process [GO:0006189]	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity [GO:0070626]; 3-carboxy-cis,cis-muconate cycloisomerase activity [GO:0047472]; N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity [GO:0004018]	cytosol [GO:0005829]
Q9HZ62	MUPP_PSEAE	mupP PA3172	PA3172	N-acetylmuramic acid 6-phosphate phosphatase (MurNAc 6-phosphate phosphatase) (MurNAc-6P phosphatase) (EC 3.1.3.105)	GO:0005829; GO:0006281; GO:0008360; GO:0008967; GO:0009252; GO:0009254; GO:0046677; GO:0046872; GO:0071555	cell wall organization [GO:0071555]; DNA repair [GO:0006281]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan turnover [GO:0009254]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	metal ion binding [GO:0046872]; phosphoglycolate phosphatase activity [GO:0008967]	cytosol [GO:0005829]
